"284	"," 0.999999642	","  [('resurection'	 -0.006386228725945006)	 ('Peter'	 -0.006337988548919979)	 ('Alan'	 -0.005618877874543735)	 ('lightning'	 -0.005496302186604578)	 ('loud'	 -0.005491823597376174)	 ('heaven'	 -0.005489708854314745)]"
"268	"," 0.950125337	","  [('ctron'	 -0.4800506566876984)	 ('debunks'	 0.03723999911530169)	 ('Francis'	 -0.02960979800443593)	 ('Wrong'	 0.027229257059437843)	 ('writes'	 0.02461424280638793)	 ('Psi'	 -0.022967506829529385)]"
"317	"," 0.9499228	","  [('Conversions'	 -0.07799111014146594)	 ('faced'	 -0.04026203787270746)	 ('fsu'	 -0.038748954102017015)	 ('indoctrination'	 -0.030591475008963333)	 ('Organization'	 -0.03054321673596374)	 ('diminished'	 -0.03008388866726078)]"
"482	"," 0.947036207	","  [('mangoe'	 0.07069992085017955)	 ('Wingate'	 0.06064494431227865)	 ('tove'	 0.06018817315617169)	 ('lous'	 0.059063556824058776)	 ('marv'	 0.058854242892783085)	 ('strife'	 0.055360556597042414)]"
"306	"," 0.931382179	","  [('formerly'	 -0.04992956803366597)	 ('Organization'	 -0.041563095014992155)	 ('verify'	 -0.03718513513850038)	 ('Stanley'	 -0.03545112792567391)	 ('Business'	 -0.034992270696983796)	 ('ncr'	 -0.03469580157019377)]"
"26	"," 0.928909779	","  [('Astrophysics'	 -0.11496822246435652)	 ('wustl'	 -0.07451526316186176)	 ('Oser'	 -0.06390504818782672)	 ('fermi'	 -0.05803061547925067)	 ('oser'	 -0.057351989340654407)	 ('Host'	 0.039629080619763536)]"
"114	"," 0.909797311	","  [('Alan'	 -0.09067652659701304)	 ('Love'	 -0.046879539387103895)	 ('voices'	 -0.03873494450152162)	 ('vanity'	 -0.031198600158087834)	 ('York'	 -0.030085609815738084)	 ('fidonet'	 -0.027111975920334562)]"
"190	"," 0.887391925	","  [('ocis'	 -0.19135163122384916)	 ('astro'	 -0.1864866727256834)	 ('Carl'	 -0.16065093194205224)	 ('stamp'	 0.07851086365322543)	 ('Newsreader'	 0.05585852121668409)	 ('Host'	 0.04343224584588755)]"
"125	"," 0.877367377	","  [('influenced'	 -0.0800809464391644)	 ('fill'	 -0.060689026729317384)	 ('survey'	 -0.055013659267872224)	 ('Organization'	 -0.04908882990414501)	 ('detail'	 -0.04683784498951866)	 ('Newsreader'	 0.042681672920315175)]"
"212	"," 0.871329665	","  [('astro'	 -0.20153545409901452)	 ('ocis'	 -0.19047457625703346)	 ('Carl'	 -0.1657629412096941)	 ('Newsreader'	 0.06613408630007546)	 ('Posting'	 0.05385297570475184)	 ('TIN'	 0.05334796052127386)]"
"112	"," 0.844153643	","  [('Romans'	 -0.04919576912315495)	 ('Organization'	 -0.04867331711353918)	 ('deeds'	 -0.04451632673241627)	 ('spat'	 -0.04338783460751876)	 ('romans'	 -0.04160169238332638)	 ('hebrews'	 -0.04013239071751918)]"
"15	"," 0.777846217	","  [('sincere'	 -0.08392964062407862)	 ('smug'	 -0.07946147618326918)	 ('fsu'	 -0.054538525903700175)	 ('Organization'	 -0.0433297887532201)	 ('William'	 -0.031732457538518666)	 ('Morality'	 0.03125635302564988)]"
"208	"," 0.74260354	","  [('refuses'	 0.07203216262417532)	 ('warns'	 -0.06884484008810134)	 ('attitude'	 -0.06850388811386537)	 ('fashioned'	 -0.059511545356106865)	 ('sincere'	 -0.05928273732012247)	 ('cycle'	 -0.05492458756207333)]"
"269	"," 0.739607334	","  [('uxa'	 -0.06573855338032045)	 ('Me'	 -0.05008714632887803)	 ('Steve'	 -0.049122326322421604)	 ('Organization'	 -0.04160527887584575)	 ('fsu'	 -0.0297201346684759)	 ('pepke'	 -0.02175510407386367)]"
"104	"," 0.702718616	","  [('sinners'	 -0.05689001248566249)	 ('Organization'	 -0.05380998712084595)	 ('Waco'	 -0.05177463546008943)	 ('Peter'	 -0.05095955713744041)	 ('sincere'	 -0.04448507304435053)	 ('Seems'	 0.033203800010843915)]"
"285	"," 0.692038536	","  [('Alan'	 -0.14009707428608853)	 ('beast'	 -0.07648928810239058)	 ('cattle'	 -0.05568287026819276)	 ('Olsen'	 0.04305985561404714)	 ('air'	 0.03793952863675029)	 ('fidonet'	 -0.03694328532612475)]"
"165	"," 0.679783821	","  [('Tribulation'	 0.29108523053171154)	 ('Antichrist'	 -0.26203962793994473)	 ('beast'	 -0.11189298409618481)	 ('deceived'	 -0.08850278430475726)	 ('IN'	 0.08821953422481243)	 ('mark'	 -0.0850035806396641)]"
"3	"," 0.595986247	","  [('Freemasonry'	 -0.22889777555423438)	 ('Page'	 -0.10369574426795936)	 ('equality'	 0.08430097112429728)	 ('10th'	 -0.07390578813097877)	 ('Ministry'	 0.06865821831848935)	 ('Posting'	 0.05932547763261994)]"
